Ngày,"Số người tiếp cận được","CPC (Chi phí trên mỗi lượt click vào liên kết)","Tần suất","Số lượt click vào liên kết","Chỉ số Signup","CPM (Chi phí trên mỗi 1.000 lần hiển thị)","Số tiền đã chi tiêu (VND)","CTR (Tỷ lệ nhấp vào liên kết)","Bình luận về bài viết","Số lượt chia sẻ bài viết","Bắt đầu báo cáo","Kết thúc báo cáo"
2019-09-10,11580,11901.35294118,1.4379101899827,51,227.05882353,36452.40526095,606969,0.306287910636,,2,2019-09-10,2019-09-10
2019-05-10,6298,26322.20408163,1.3502699269609,49,128.53061224,151668.39134525,1289788,0.57619943555974,,,2019-05-10,2019-05-10
2019-05-11,6365,26257.4893617,1.3022780832679,47,135.42553191,148884.30449994,1234102,0.56701652792858,,,2019-05-11,2019-05-11
2019-07-22,6490,24087.87234043,1.2593220338983,47,138.08510638,138520.73901872,1132130,0.57506423589869,,,2019-07-22,2019-07-22
2019-11-01,5884,3348.89130435,1.1459891230455,46,127.91304348,22845.76597953,154049,0.68218893667507,,1,2019-11-01,2019-11-01
2019-07-29,5182,16433.40909091,1.4631416441528,44,117.77272727,95366.65787391,723070,0.58032181482458,2,1,2019-07-29,2019-07-29
2019-08-15,4577,11253.93181818,1.2333406161241,44,104.02272727,87718.86625332,495173,0.77945084145261,1,4,2019-08-15,2019-08-15
2019-08-10,3146,13426.18181818,1.1691036236491,44,71.5,160617.72702556,590752,1.1963023382273,,,2019-08-10,2019-08-10
2019-11-02,4978,3362.5,1.2750100441945,44,113.13636364,23310.22530329,147950,0.69324090121317,,,2019-11-02,2019-11-02
2019-09-11,15051,19061.1627907,1.5490000664408,43,350.02325581,35156.12936433,819630,0.18443853478597,3,,2019-09-11,2019-09-11
2019-08-01,4066,12504.1627907,1.3307919331038,43,94.55813953,99367.76935871,537679,0.79467750877841,1,,2019-08-01,2019-08-01
2019-10-30,5398,3214.30952381,1.1898851426454,42,128.52380952,21018.3714775,135001,0.65390004670715,1,,2019-10-30,2019-10-30
2019-11-09,7034,21616.35714286,1.4705715098095,42,167.47619048,87769.43155452,907887,0.40603248259861,,2,2019-11-09,2019-11-09
2019-08-02,4582,13140.66666667,1.3291139240506,39,117.48717949,84152.05254516,512486,0.64039408866995,2,3,2019-08-02,2019-08-02
2019-10-31,4915,3795.91891892,1.2242115971516,37,132.83783784,23342.03091241,140449,0.61492438092072,,1,2019-10-31,2019-10-31
2019-12-13,3898,8161.14285714,1.1998460749102,35,111.37142857,61073.33760958,285640,0.74834295488561,2,,2019-12-13,2019-12-13
2019-07-31,4368,20383.64705882,1.4093406593407,34,128.47058824,112580.24691358,693044,0.55230669265757,,,2019-07-31,2019-07-31
2019-11-10,6086,26327.84375,1.571146894512,32,190.1875,88108.24095378,842491,0.33465802133445,2,5,2019-11-10,2019-11-10
2019-08-03,4111,17212.21875,1.2646558015081,32,128.46875,105941.71956145,550791,0.61550298134257,,1,2019-08-03,2019-08-03
2019-12-12,2922,9171.5862069,1.4616700889802,29,100.75862069,62274.87707797,265976,0.67899789276516,,,2019-12-12,2019-12-12
2019-08-04,3438,16067.07142857,1.2801047120419,28,122.78571429,102221.76778005,449878,0.63621904112702,,,2019-08-04,2019-08-04
2019-11-12,6342,22314.33333333,1.5993377483444,27,234.88888889,59399.29015084,602487,0.2661934338953,,1,2019-11-12,2019-11-12
2019-07-23,4976,41706.81481481,1.2610530546624,27,184.2962963,179455.61752988,1126084,0.43027888446215,,,2019-07-23,2019-07-23
2019-08-29,3926,24637.66666667,1.3059093224656,24,163.58333333,115331.38287498,591304,0.46811000585138,1,,2019-08-29,2019-08-29
2019-05-04,1522,8164.29166667,1.1826544021025,24,63.41666667,108857.22222222,195943,1.3333333333333,2,,2019-05-04,2019-05-04
2019-05-03,998,6476.2173913,1.124248496994,23,43.39130435,132756.68449198,148953,2.0499108734403,,,2019-05-03,2019-05-03
2019-06-06,1723,9804.09090909,1.1340684852002,22,78.31818182,110383.82804504,215690,1.1258955987718,,,2019-06-06,2019-06-06
2019-05-13,5214,50517.85714286,1.2784810126582,21,248.28571429,159147.16471647,1060875,0.31503150315032,,,2019-05-13,2019-05-13
2019-07-19,3139,30584.23529412,1.327811404906,17,184.64705882,124743.76199616,519932,0.40786948176583,,,2019-07-19,2019-07-19
2019-06-12,1519,11224.17647059,1.0921658986175,17,89.35294118,115015.67209162,190811,1.0247136829415,,,2019-06-12,2019-06-12
2019-11-11,3834,29655.75,1.5753781950965,16,239.625,78558.2781457,474492,0.26490066225166,,2,2019-11-11,2019-11-11
2019-05-07,850,11976.3125,1.14,16,53.125,197751.28998968,191621,1.6511867905057,,,2019-05-07,2019-05-07
2019-07-20,1553,15886.6875,1.2298776561494,16,97.0625,133082.19895288,254187,0.83769633507853,1,,2019-07-20,2019-07-20
2019-10-18,1195,2097.73333333,1.0309623430962,15,79.66666667,25540.58441558,31466,1.2175324675325,,,2019-10-18,2019-10-18
2019-07-21,1908,19047.73333333,1.3066037735849,15,127.2,114607.30044124,285716,0.60168471720818,1,,2019-07-21,2019-07-21
2019-12-11,2995,10532.92857143,1.0691151919866,14,213.92857143,46052.7795128,147461,0.43722673329169,,,2019-12-11,2019-12-11
2019-08-30,3834,41563.5,1.198487219614,14,273.85714286,126635.25571273,581889,0.30467899891186,1,,2019-08-30,2019-08-30
