Ngày,"Số lượt click vào liên kết","Chi phí trên mỗi lượt phát video trong tối thiểu 3 giây","Lượt phát video","Chi phí trên mỗi ThruPlay","Lượt phát video trong tối thiểu 3 giây","Lượt phát 25% thời lượng video","Số người tiếp cận được","Số lần hiển thị","Bắt đầu báo cáo","Kết thúc báo cáo"
2019-07-20,16,1264.6119403,1175,6689.13157895,201,44,1553,1910,2019-07-20,2019-07-20
2019-07-19,17,1232.06635071,2303,9121.61403509,422,82,3139,4168,2019-07-19,2019-07-19
2019-05-13,21,1431.68016194,4327,10008.25471698,741,84,5214,6666,2019-05-13,2019-05-13
2019-05-12,75,1452.49357674,9258,8524.75396825,1479,207,9647,13629,2019-05-12,2019-05-12
2019-05-11,47,1342.87486398,5661,7525.01219512,919,130,6365,8289,2019-05-11,2019-05-11
2019-05-10,49,1467.33560865,5654,8429.9869281,879,132,6298,8504,2019-05-10,2019-05-10
2019-05-09,68,1573.85801995,6940,9196.13004484,1303,181,8188,10587,2019-05-09,2019-05-09
2019-05-08,67,1409.31144279,5301,6942.93137255,1005,165,6034,7985,2019-05-08,2019-05-08
2019-05-07,16,1419.41481481,677,5635.91176471,135,30,850,969,2019-05-07,2019-05-07
2019-05-06,6,1642.82222222,202,4348.64705882,45,19,356,414,2019-05-06,2019-05-06
2019-05-05,14,1418.35,299,8104.85714286,80,22,686,815,2019-05-05,2019-05-05
2019-05-04,24,816.42916667,954,4453.25,240,51,1522,1800,2019-05-04,2019-05-04
2019-05-03,23,767.79896907,717,3103.1875,194,54,998,1122,2019-05-03,2019-05-03
